Image 1,Image 2,Similarity Index
2.jpg,3.jpg,0.765315845
2.jpg,4.jpg,0.000714696
2.jpg,5.jpg,0.202928486
2.jpg,6.jpg,0.585731607
2.jpg,7.jpg,0.726099573
2.jpg,8.jpg,0.431611004
2.jpg,9.jpg,0.741577997
2.jpg,10.jpg,0.720756053
2.jpg,11.jpg,0.596797069
2.jpg,12.jpg,0.010718253
2.jpg,13.jpg,0.638720735
2.jpg,14.jpg,0.629885934
2.jpg,15.jpg,0.710406701
2.jpg,16.jpg,0.061984913
2.jpg,17.jpg,0.525875731
2.jpg,18.jpg,0.650099067
2.jpg,19.jpg,0.758978025
2.jpg,20.jpg,0.736561059
2.jpg,21.jpg,0.58362378
2.jpg,22.jpg,0.689775852
2.jpg,23.jpg,0.686280048
2.jpg,24.jpg,0.680080138
2.jpg,25.jpg,0.726655369
2.jpg,26.jpg,0.053281609
2.jpg,27.jpg,0.278485044
2.jpg,28.jpg,0.747408864
2.jpg,29.jpg,0.289954955
2.jpg,30.jpg,0.289729115
2.jpg,31.jpg,0.706164084
2.jpg,32.jpg,0.710833077
2.jpg,33.jpg,0.368488189
2.jpg,34.jpg,0.687728076
2.jpg,35.jpg,0.628033399
2.jpg,36.jpg,0.760478569
2.jpg,37.jpg,0.00421737
2.jpg,38.jpg,0.198357744
2.jpg,39.jpg,0.752258814
2.jpg,40.jpg,0.323695429
2.jpg,41.jpg,0.647295538
2.jpg,42.jpg,0.138632048
2.jpg,43.jpg,0.758305435
2.jpg,44.jpg,0.65047871
2.jpg,45.jpg,0.685416441
2.jpg,46.jpg,0.70383368
2.jpg,47.jpg,0.748834415
2.jpg,48.jpg,0.603116557
2.jpg,49.jpg,0.737230265
2.jpg,50.jpg,0.746249042
2.jpg,51.jpg,0.757140229
2.jpg,52.jpg,0.632619
2.jpg,53.jpg,0.672886755
2.jpg,54.jpg,0.708136404
2.jpg,55.jpg,0.712254895
2.jpg,56.jpg,0.531883028
2.jpg,57.jpg,0.369399155
2.jpg,58.jpg,0.03947905
2.jpg,59.jpg,0.404326966
2.jpg,60.jpg,0.761495334
2.jpg,61.jpg,0.687629942
2.jpg,62.jpg,0.626403214
2.jpg,63.jpg,0.691576317
2.jpg,64.jpg,0.349234407
2.jpg,65.jpg,0.697430823
2.jpg,66.jpg,0.736717141
2.jpg,67.jpg,0.072737314
2.jpg,68.jpg,0.609230093
2.jpg,69.jpg,0.75049046
2.jpg,70.jpg,0.162497589
2.jpg,71.jpg,0.709199725
2.jpg,72.jpg,0.159324885
2.jpg,73.jpg,0.74142188
2.jpg,74.jpg,0.704726899
2.jpg,75.jpg,0.16822412
2.jpg,76.jpg,0.762935631
2.jpg,77.jpg,0.746268644
2.jpg,78.jpg,0.259587707
2.jpg,79.jpg,0.772283387
2.jpg,80.jpg,0.755626877
2.jpg,81.jpg,0.710602585
2.jpg,82.jpg,0.339297295
2.jpg,83.jpg,0.726975839
2.jpg,84.jpg,0.740373568
2.jpg,85.jpg,0.728662442
2.jpg,86.jpg,0.736493722
2.jpg,87.jpg,0.708784691
2.jpg,88.jpg,0.725719965
2.jpg,89.jpg,0.719386837
2.jpg,90.jpg,0.359790655
2.jpg,91.jpg,0.157700242
2.jpg,92.jpg,0.25069917
2.jpg,93.jpg,0.762101219
2.jpg,94.jpg,0.757450056
2.jpg,95.jpg,0.687784401
2.jpg,96.jpg,0.525244108
2.jpg,97.jpg,0.746499928
2.jpg,98.jpg,0.436690992
2.jpg,99.jpg,0.448549579
2.jpg,100.jpg,0.623775187
2.jpg,101.jpg,0.709628875
2.jpg,102.jpg,0.743474104
2.jpg,103.jpg,0.00406595
2.jpg,104.jpg,0.735609702
2.jpg,105.jpg,0.738762557
2.jpg,106.jpg,0.7576925
2.jpg,107.jpg,0.169877667
2.jpg,108.jpg,0.629607423
2.jpg,109.jpg,0.221571382
2.jpg,110.jpg,0.542891457
2.jpg,111.jpg,0.534444742
2.jpg,112.jpg,0.745470454
2.jpg,113.jpg,0.360107778
2.jpg,114.jpg,0.000512248
2.jpg,115.jpg,0.010077106
2.jpg,116.jpg,0.184300675
2.jpg,117.jpg,0.19980258
2.jpg,118.jpg,0.726803476
2.jpg,119.jpg,0.106134941
2.jpg,120.jpg,0.785463349
2.jpg,121.jpg,0.777251879
3.jpg,4.jpg,0.000449486
3.jpg,5.jpg,0.221888081
3.jpg,6.jpg,0.668516495
3.jpg,7.jpg,0.841444391
3.jpg,8.jpg,0.475766898
3.jpg,9.jpg,0.860040399
3.jpg,10.jpg,0.807737163
3.jpg,11.jpg,0.67693957
3.jpg,12.jpg,0.014091697
3.jpg,13.jpg,0.723894899
3.jpg,14.jpg,0.72503199
3.jpg,15.jpg,0.81937652
3.jpg,16.jpg,0.070614434
3.jpg,17.jpg,0.582232284
3.jpg,18.jpg,0.724158925
3.jpg,19.jpg,0.859885471
3.jpg,20.jpg,0.840576924
3.jpg,21.jpg,0.655931519
3.jpg,22.jpg,0.792224321
3.jpg,23.jpg,0.779134477
3.jpg,24.jpg,0.780242977
3.jpg,25.jpg,0.825513337
3.jpg,26.jpg,0.059697441
3.jpg,27.jpg,0.308177974
3.jpg,28.jpg,0.876829933
3.jpg,29.jpg,0.318018625
3.jpg,30.jpg,0.32515867
3.jpg,31.jpg,0.818163538
3.jpg,32.jpg,0.801073972
3.jpg,33.jpg,0.425892919
3.jpg,34.jpg,0.780117113
3.jpg,35.jpg,0.701057795
3.jpg,36.jpg,0.878260355
3.jpg,37.jpg,0.003660613
3.jpg,38.jpg,0.222848614
3.jpg,39.jpg,0.871340378
3.jpg,40.jpg,0.353321299
3.jpg,41.jpg,0.753010067
3.jpg,42.jpg,0.149945652
3.jpg,43.jpg,0.867398914
3.jpg,44.jpg,0.740149927
3.jpg,45.jpg,0.767559862
3.jpg,46.jpg,0.804799197
3.jpg,47.jpg,0.861333729
3.jpg,48.jpg,0.686300267
3.jpg,49.jpg,0.843030015
3.jpg,50.jpg,0.877513977
3.jpg,51.jpg,0.863156286
3.jpg,52.jpg,0.701991831
3.jpg,53.jpg,0.761494377
3.jpg,54.jpg,0.816247154
3.jpg,55.jpg,0.826672732
3.jpg,56.jpg,0.601626722
3.jpg,57.jpg,0.412659075
3.jpg,58.jpg,0.04260481
3.jpg,59.jpg,0.446300261
3.jpg,60.jpg,0.883674247
3.jpg,61.jpg,0.791943507
3.jpg,62.jpg,0.69368427
3.jpg,63.jpg,0.790447509
3.jpg,64.jpg,0.381208993
3.jpg,65.jpg,0.797711139
3.jpg,66.jpg,0.853035551
3.jpg,67.jpg,0.080938954
3.jpg,68.jpg,0.693272602
3.jpg,69.jpg,0.860423855
3.jpg,70.jpg,0.177472385
3.jpg,71.jpg,0.807979493
3.jpg,72.jpg,0.174334894
3.jpg,73.jpg,0.864713346
3.jpg,74.jpg,0.804556804
3.jpg,75.jpg,0.194376135
3.jpg,76.jpg,0.893818229
3.jpg,77.jpg,0.876032144
3.jpg,78.jpg,0.282254248
3.jpg,79.jpg,0.90267744
3.jpg,80.jpg,0.884763887
3.jpg,81.jpg,0.807040808
3.jpg,82.jpg,0.372279113
3.jpg,83.jpg,0.849947662
3.jpg,84.jpg,0.839947487
3.jpg,85.jpg,0.839439444
3.jpg,86.jpg,0.839428121
3.jpg,87.jpg,0.808138095
3.jpg,88.jpg,0.839960931
3.jpg,89.jpg,0.811035976
3.jpg,90.jpg,0.408228311
3.jpg,91.jpg,0.173759152
3.jpg,92.jpg,0.272045012
3.jpg,93.jpg,0.868741445
3.jpg,94.jpg,0.883779063
3.jpg,95.jpg,0.78014149
3.jpg,96.jpg,0.592634454
3.jpg,97.jpg,0.840700115
3.jpg,98.jpg,0.489419735
3.jpg,99.jpg,0.50634957
3.jpg,100.jpg,0.706757393
3.jpg,101.jpg,0.820096637
3.jpg,102.jpg,0.862558244
3.jpg,103.jpg,0.00321252
3.jpg,104.jpg,0.849660452
3.jpg,105.jpg,0.858735027
3.jpg,106.jpg,0.885370534
3.jpg,107.jpg,0.188869969
3.jpg,108.jpg,0.698569303
3.jpg,109.jpg,0.247006125
3.jpg,110.jpg,0.621712975
3.jpg,111.jpg,0.60993478
3.jpg,112.jpg,0.851441424
3.jpg,113.jpg,0.395623395
3.jpg,114.jpg,8.79E-05
3.jpg,115.jpg,0.01063411
3.jpg,116.jpg,0.2070107
3.jpg,117.jpg,0.2177302
3.jpg,118.jpg,0.857161176
3.jpg,119.jpg,0.116569875
3.jpg,120.jpg,0.925441548
3.jpg,121.jpg,0.91703229
4.jpg,5.jpg,0.000770332
4.jpg,6.jpg,0.005218674
4.jpg,7.jpg,0.001290191
4.jpg,8.jpg,0.003224365
4.jpg,9.jpg,0.001533469
4.jpg,10.jpg,0.005719225
4.jpg,11.jpg,0.055666036
4.jpg,12.jpg,0.732158473
4.jpg,13.jpg,0.000792388
4.jpg,14.jpg,0.000853095
4.jpg,15.jpg,0.011091955
4.jpg,16.jpg,0.324492839
4.jpg,17.jpg,0.001520776
4.jpg,18.jpg,0.001029314
4.jpg,19.jpg,0.002397371
4.jpg,20.jpg,0.002060984
4.jpg,21.jpg,0.002871402
4.jpg,22.jpg,0.000609291
4.jpg,23.jpg,0.016531105
4.jpg,24.jpg,0.005865074
4.jpg,25.jpg,0.003550665
4.jpg,26.jpg,0.305148106
4.jpg,27.jpg,0.008172203
4.jpg,28.jpg,0.001173278
4.jpg,29.jpg,0.004699004
4.jpg,30.jpg,0.005725853
4.jpg,31.jpg,0.000745186
4.jpg,32.jpg,0.001662529
4.jpg,33.jpg,0.276456511
4.jpg,34.jpg,0.007212049
4.jpg,35.jpg,0.001997735
4.jpg,36.jpg,0.001115251
4.jpg,37.jpg,0.758622747
4.jpg,38.jpg,0.008455837
4.jpg,39.jpg,0.00026339
4.jpg,40.jpg,0.00568281
4.jpg,41.jpg,0.001729887
4.jpg,42.jpg,0.013329418
4.jpg,43.jpg,0.00186038
4.jpg,44.jpg,0.001399312
4.jpg,45.jpg,0.001145326
4.jpg,46.jpg,0.003957654
4.jpg,47.jpg,0.000820538
4.jpg,48.jpg,0.001323738
4.jpg,49.jpg,0.001378066
